"","month","country","fit","lwr","upr"
"1","01","Bangladesh",209158.906708012,162355.69419846,255962.119217565
"2","01","Hong Kong",260161.250246384,213358.037736832,306964.462755937
"3","01","Malaysia",461129.416798636,414326.204289083,507932.629308188
"4","01","Pakistan",453400.420081089,406597.207571537,500203.632590642
"5","01","Philippines",330502.909756673,283699.69724712,377306.122266225
"6","01","Singapore",521247.831415366,474444.618905814,568051.043924919
"7","01","Taiwan",401098.103543414,354294.891033861,447901.316052966
"8","01","Thailand",317136.836158049,270333.623648496,363940.048667601
"9","02","Bangladesh",198440.484268501,156089.382505163,240791.58603184
"10","02","Hong Kong",244205.310417018,201854.20865368,286556.412180357
"11","02","Malaysia",436991.696640333,394640.594876995,479342.798403672
"12","02","Pakistan",418412.739806172,376061.638042833,460763.84156951
"13","02","Philippines",308026.25631781,265675.154554472,350377.358081149
"14","02","Singapore",482261.676797687,439910.575034348,524612.778561025
"15","02","Taiwan",388189.329986614,345838.228223275,430540.431749952
"16","02","Thailand",297461.360430362,255110.258667024,339812.462193701
"17","03","Bangladesh",230297.147202211,183289.921921478,277304.372482945
"18","03","Hong Kong",281366.19984099,234358.974560256,328373.425121723
"19","03","Malaysia",506914.212831885,459906.987551151,553921.438112618
"20","03","Pakistan",473680.149998009,426672.924717275,520687.375278742
"21","03","Philippines",351778.03796741,304770.812686676,398785.263248143
"22","03","Singapore",547671.656242391,500664.430961658,594678.881523125
"23","03","Taiwan",458664.307005151,411657.081724418,505671.532285884
"24","03","Thailand",341979.228484327,294972.003203594,388986.453765061
"25","04","Bangladesh",233503.478651799,187919.687141135,279087.270162463
"26","04","Hong Kong",278523.281268218,232939.489757554,324107.072778883
"27","04","Malaysia",510873.833310368,465290.041799704,556457.624821033
"28","04","Pakistan",464443.087360931,418859.295850267,510026.878871596
"29","04","Philippines",349024.474069106,303440.682558441,394608.26557977
"30","04","Singapore",533813.350328467,488229.558817802,579397.141839131
"31","04","Taiwan",470971.916733508,425388.125222844,516555.708244173
"32","04","Thailand",339966.369315434,294382.577804769,385550.160826098
"33","05","Bangladesh",252226.046447213,204991.433136173,299460.659758253
"34","05","Hong Kong",296508.385868058,249273.772557018,343742.999179098
"35","05","Malaysia",550266.01382485,503031.40051381,597500.62713589
"36","05","Pakistan",488352.18105954,441117.5677485,535586.79437058
"37","05","Philippines",370667.735416036,323433.122104996,417902.348727076
"38","05","Singapore",560681.967535483,513447.354224443,607916.580846523
"39","05","Taiwan",515620.572379437,468385.959068397,562855.185690477
"40","05","Thailand",362454.834750546,315220.221439506,409689.448061586
"41","06","Bangladesh",254766.010538903,208832.709585851,300699.311491955
"42","06","Hong Kong",300424.059875852,254490.7589228,346357.360828904
"43","06","Malaysia",556962.271550395,511028.970597343,602895.572503447
"44","06","Pakistan",485063.59019761,439130.289244558,530996.891150662
"45","06","Philippines",370305.486683172,324372.18573012,416238.787636223
"46","06","Singapore",560343.773592529,514410.472639477,606277.074545581
"47","06","Taiwan",528571.309585155,482638.008632103,574504.610538207
"48","06","Thailand",364996.82567476,319063.524721708,410930.126627812
"49","07","Bangladesh",274135.505063803,226559.208059637,321711.802067968
"50","07","Hong Kong",315064.104514753,267487.807510587,362640.401518919
"51","07","Malaysia",595617.390457498,548041.093453332,643193.687461664
"52","07","Pakistan",506159.472895964,458583.175891798,553735.76990013
"53","07","Philippines",391088.618731808,343512.321727642,438664.915735973
"54","07","Singapore",580742.423774986,533166.126770821,628318.720779152
"55","07","Taiwan",573848.694688635,526272.397684469,621424.9916928
"56","07","Thailand",385515.660093719,337939.363089553,433091.957097884
"57","08","Bangladesh",285327.730292564,237508.75657618,333146.704008949
"58","08","Hong Kong",326653.085247836,278834.111531452,374472.058964221
"59","08","Malaysia",619835.6010667,572016.627350315,667654.574783085
"60","08","Pakistan",516992.030205703,469173.056489318,564811.003922087
"61","08","Philippines",402221.528052114,354402.55433573,450040.501768499
"62","08","Singapore",594519.259363668,546700.285647283,642338.233080052
"63","08","Taiwan",604056.97278009,556237.999063705,651875.946496474
"64","08","Thailand",398637.173987576,350818.200271192,446456.147703961
"65","09","Bangladesh",286765.216442247,240254.588038954,333275.844845541
"66","09","Hong Kong",325878.04377747,279367.415374177,372388.672180764
"67","09","Malaysia",622184.300174184,575673.671770891,668694.928577478
"68","09","Pakistan",509523.566786081,463012.938382787,556034.195189374
"69","09","Philippines",399343.287425557,352832.659022264,445853.915828851
"70","09","Singapore",586107.672561002,539597.044157708,632618.300964295
"71","09","Taiwan",612918.689719633,566408.061316339,659429.318122926
"72","09","Thailand",397381.374406446,350870.746003153,443892.00280974
"73","10","Bangladesh",307161.374237942,258930.484793171,355392.263682713
"74","10","Hong Kong",342930.047637803,294699.158193032,391160.937082574
"75","10","Malaysia",663970.917024544,615740.027579773,712201.806469315
"76","10","Pakistan",532959.368424686,484728.478979915,581190.257869457
"77","10","Philippines",421890.110292342,373659.220847572,470120.999737113
"78","10","Singapore",610982.420138668,562751.530693897,659213.309583439
"79","10","Taiwan",661673.185572868,613442.296128097,709904.075017639
"80","10","Thailand",420266.940607952,372036.051163181,468497.830052723
"81","11","Bangladesh",307995.923689631,260991.527335547,355000.320043714
"82","11","Hong Kong",344022.468429215,297018.072075131,391026.864783298
"83","11","Malaysia",666143.539955918,619139.143601835,713147.936310001
"84","11","Pakistan",526845.59231914,479841.195965057,573849.988673223
"85","11","Philippines",419101.080628104,372096.684274021,466105.476982188
"86","11","Singapore",605544.664134682,558540.267780598,652549.060488765
"87","11","Taiwan",669260.621359464,622256.225005381,716265.017713548
"88","11","Thailand",419743.632373134,372739.23601905,466748.028727217
"89","12","Bangladesh",329197.912793876,280362.449820593,378033.375767159
"90","12","Hong Kong",364107.343877489,315271.880904206,412942.806850772
"91","12","Malaysia",710667.977150607,661832.514177324,759503.44012389
"92","12","Pakistan",552769.830407277,503934.367433994,601605.29338056
"93","12","Philippines",443055.328228031,394219.865254748,491890.791201314
"94","12","Singapore",634683.458586645,585847.995613362,683518.921559928
"95","12","Taiwan",720498.821675388,671663.358702105,769334.284648671
"96","12","Thailand",444841.803989606,396006.341016323,493677.266962889
